0,1,2,3,4
0.333333333,0.25,0.375,0.389830508,0.366077154
0.333333333,0.25,0.375,0.338983051,0.310581239
0.416666667,0.25,0.375,0.372881356,0.347586382
0.416666667,0.25,0.375,0.423728814,0.403035096
0.583333333,0.25,0.375,0.508474576,0.495292285
0.583333333,0.25,0.375,0.525423729,0.513720122
0.666666667,0.25,0.375,0.610169492,0.605741308
0.666666667,0.25,0.375,0.576271186,0.568956434
0.5,0.75,0.375,0.576271186,0.568956434
0.5,0.75,0.375,0.576271186,0.568956434
0.333333333,0.75,0.375,0.457627119,0.439961572
0.333333333,0.75,0.375,0.457627119,0.439961572
0.416666667,0.75,0.375,0.457627119,0.439961572
0.416666667,0.75,0.375,0.440677966,0.421502267
0.583333333,0.75,0.375,0.542372881,0.532140093
0.583333333,0.75,0.375,0.542372881,0.532140093
0.666666667,0.75,0.375,0.576271186,0.568956434
0.666666667,0.75,0.375,0.593220339,0.587352805
0.5,1,0.375,0.559322034,0.551016335
0.5,1,0.375,0.576271186,0.569428439
0.333333333,1,0.375,0.525423729,0.514168526
0.333333333,1,0.375,0.491525424,0.477289251
0.416666667,1,0.375,0.525423729,0.514168526
0.416666667,1,0.375,0.508474576,0.495732822
0.583333333,1,0.375,0.593220339,0.587832676
0.583333333,1,0.375,0.593220339,0.587832676
0.666666667,1,0.375,0.627118644,0.62461755
0.666666667,1,0.375,0.627118644,0.62461755
0.5,0.5,0.625,0.389830508,0.462245713
0.5,0.5,0.625,0.389830508,0.462245713
0.333333333,0.5,0.625,0.338983051,0.400918706
0.333333333,0.5,0.625,0.305084746,0.359990587
0.416666667,0.5,0.625,0.271186441,0.319027709
0.416666667,0.5,0.625,0.220338983,0.257518221
0.583333333,0.5,0.625,0.406779661,0.482670669
0.583333333,0.5,0.625,0.406779661,0.482670669
0.666666667,0.5,0.625,0.406779661,0.482670669
0.666666667,0.5,0.625,0.355932203,0.421369731
0.5,0,0.625,0.271186441,0.319027709
0.5,0,0.625,0.271186441,0.319027709
0.333333333,0,0.625,0.237288136,0.278030073
0.333333333,0,0.625,0.237288136,0.278030073
0.416666667,0,0.625,0.220338983,0.257518221
0.416666667,0,0.625,0.203389831,0.236997679
0.583333333,0,0.625,0.288135593,0.339513493
0.583333333,0,0.625,0.254237288,0.298533236
0.666666667,0,0.625,0.237288136,0.278030073
0.666666667,0,0.625,0.254237288,0.298533236
0.5,0.25,0.625,0.254237288,0.298533236
